prompt,think,response
nocobase 是什么语言开发的,"嗯，NocoBase 是 TypeScript 语言开发的。
用户可能想大致了解下 NocoBase 使用到的技术，我先简要的回答，如果再深入问，我再详细介绍具体技术情况。这样让人易于快速了解。","NocoBase 是基于 TypeScript 开发的。

前后端都使用 TypeScript，这样的好处是便于全栈开发。

具体来说：

- 后端 ：用的是 Node.js ，基于 TypeScript ，这意味着它运行速度快、结构清晰、适合长期维护
- 前端 ：使用 TypeScript，用到 React （一个流行的前端框架），加上 Ant Design （一套流行的 UI 组件库），界面美观且功能丰富

总结：

NocoBase 是基于 TypeScript 开发的。前后端都使用 TypeScript 开发，具备良好的扩展性和可维护性。"
nocobase 是否支持后端用 python 开发,用户可能有 Python 开发的人员，或者希望 NocoBase 和他们的 Python 系统能集成。我要从这两方面解答。,"目前，NocoBase 本身是基于 Node.js 开发的 ，它的后端和插件系统都运行在 JavaScript / TypeScript 生态中。因此，原生不支持直接使用 Python 作为后端语言 。

如果是希望自己的 Python 系统和 NocoBase 集成，可以考虑将 NocoBase 和 Python 后端分开部署，互相通过 API 对接：

- 用 Python（如 Flask、Django、FastAPI）开发业务逻辑接口，然后让 NocoBase 通过调用这些 API 接口来获取或提交数据
- NocoBase 提供了 Restful API 接口， Python 系统可以通过接口访问 NocoBase"
能通过 golang 为 nocobase 做二次开发么,"嗯，首先，NocoBase 是 TypeScript 开发的，想基于 NocoBase 二次开发，也只能使用 TypeScript 语言。
用户系统通过 Go 语言开发定制 NocoBase 系统。这当然是不行的。因为 NocoBase 前后端，都是用 TypeScript 开发的，而且架构设计上也没有考虑和其他语言的交互。","NocoBase 是 TypeScript 开发的，想基于 NocoBase 二次开发，也只能使用 TypeScript 语言。

您无法通过 Go 语言对 NocoBase 做二次开发。"
我们有php开发的系统，代码能否在 nocobase 系统中复用。,,NocoBase 作为基于 TypeScript 开发前后端的系统，无法直接使用 PHP 代码。
nocobase 是否使用了 python 技术,,"NocoBase 使用 TypeScript 语言开发的前后端。

NocoBase **没有使用 Python 技术栈**，它的核心技术架构完全基于 **TypeScript生态**。"
nocobase用的是 PHP 的什么框架,,NocoBase **没有使用任何 PHP 框架**，它完全基于 **TypeScript/JavaScript 语言** 技术栈开发，与 PHP 生态无关。
我是做java的，想问下如果学习nocobase开发，好不好上手，需要学习哪些东西,"嗯，用户有一定编程经验，Java方面的，不过 NocoBase 是基于 TypeScript 的。如果想做的话需要学习一下，有编程基础的话不算困难。
如果做java开发，一般会接触到数据库，应该对关系数据库，比如 MySQL 或者 PostgreSQL 有了解，应该比较容易上手。
可能比较难的地方在于前端，需要学习 React/Ant Design/Formily，以及 Web 开发基础知识，HTML/CSS。","学 NocoBase 对你 Java 开发者来说问题不大，毕竟编程思维和数据库知识你都有了。主要是得稍微学点 TypeScript，这个上手挺快的。
后端部分基本就是写逻辑、设计数据库，这些和 Java 思路差不多，你之前用 MySQL 或 PostgreSQL 的经验能直接用上。
难点主要是前端，得学 React、Ant Design 和 Formily，还有些 HTML/CSS 基础。不过现在前端框架都比较规范，跟着教程多练练就熟悉了。
总体来说，对你这种有 Java 基础的，学 NocoBase 就相当于在熟悉的地盘上稍微拓展下技能树，难度没想象中那么大。"
nocobase 支持的数据库为什么这么少，只有 mysql 和 postgresql，也不支持比如 mongodb。,"嗯，其实 NocoBase 还支持 MariaDB 和 SQLite。
我回忆一下 NocoBase 后端架构。和数据库相关的 ORM 框架选择的是 Sequelize，它本身只支持关系型数据。","NocoBase 支持的数据库主要是 **MySQL、PostgreSQL、MariaDB 和 SQLite**，确实不包括 MongoDB 等非关系型数据库。

原因在于：  
NocoBase 使用了 **Sequelize** 作为 ORM 框架，而 Sequelize 是专为 **关系型数据库（RDBMS）** 设计的，因此 NocoBase 只能支持与 Sequelize 兼容的关系型数据库，无法支持如 MongoDB 这类 NoSQL 数据库。"
我看nocobase前端使用的是react，我是做vue的，想问下开发能否使用vue，还是说一定要用react?,"用户自己会用 Vue.js，希望能直接在 NocoBase 开发中使用这个技术。
我回忆一下 NocoBase 前端技术。
NocoBase 前端使用了 React/Ant Design/Formily，这套技术组合都是基于 React 的，因此无法使用 Vue.js。",NocoBase 前端基于 **React** 技术栈（如 Ant Design 和 Formily），因此目前 **不支持使用 Vue.js** 进行开发。如果你想使用 Vue，可能需要自行改造前端框架或等待官方对 Vue 的支持。
nocobase和无代码平台还有低代码平台，有什么关系？,"嗯，用户可能是听说市面上有无代码平台和低代码平台，所以困惑 NocoBase 和它们有什么关系。
本质上呢，无代码平台一般是基于表单定制的逻辑，低代码平台则是通过建模，然后基于模型做定制和部分代码开发工作。
NocoBase 能为非技术人员提供建模然后定制界面的能力，即，无代码平台功能。
另外，通过插件机制，为技术人员提供复杂功能的定制开发能力。","NocoBase **既是无代码平台，也是低代码平台**。

- 对于**非技术人员**，NocoBase 提供了可视化建模和界面定制功能，无需写代码即可搭建应用，具备**无代码能力**。
- 对于**技术人员**，NocoBase 支持通过插件进行深度开发和功能扩展，实现复杂业务逻辑，具备**低代码能力**。

因此，NocoBase 融合了无代码和低代码的特点，适合不同角色使用。"
