prompt,think,response
作为开发者，我想知道NocoBase支持哪些数据库类型？,,NocoBase支持MySQL 8.0.17+、MariaDB 10.9+ 和 PostgreSQL 10+。
如果我使用PostgreSQL，需要满足什么版本要求？,,NocoBase对PostgreSQL的版本要求是10及以上。同时需要安装对应的驱动包`pg`。
我正在部署NocoBase，使用MySQL需要注意什么？,,请确保MySQL版本为8.0.17或更高，并安装相应的驱动包`mysql2`。如果使用Docker，请确保数据库服务已正确配置并可访问。
MariaDB是否被NocoBase支持？版本要求是什么？,,是的，NocoBase支持MariaDB，要求版本为10.9及以上。
作为产品经理，我想知道NocoBase是否支持团队协作功能？,,是的，NocoBase是一款支持团队协作的开源低代码平台，提供多用户权限管理、实时协作编辑、数据共享与协作等功能。
作为开发者，我想了解NocoBase在多用户环境下的权限管理能力。,,NocoBase支持多用户权限管理，可以创建多个用户账号，并按角色分配权限，控制不同用户对数据的访问和操作。
NocoBase能否支持多人同时编辑同一个模块？,,是的，NocoBase支持实时协作编辑功能，在多个模块中允许多个用户同时编辑，数据更新后可实时同步给所有在线用户。
作为普通用户，我希望知道如何在NocoBase中实现团队数据共享。,,NocoBase支持设置数据共享范围，实现团队内部数据的统一管理和协作，便于团队成员共同访问和操作相关数据。
NocoBase有没有记录用户操作的功能，以便后续追踪和恢复？,,是的，NocoBase提供操作日志与版本追踪功能，记录用户的操作记录，便于追踪修改历史和数据恢复。
作为一名开发者，我想知道 NocoBase 的插件机制是如何工作的。,,NocoBase 的插件机制基于模块化设计，通过标准生命周期钩子进行加载和初始化。插件可以注册模型、接口、页面、组件等功能，且与主应用解耦，便于维护和组合使用。
作为产品经理，我关心 NocoBase 插件的适用范围和类型有哪些？,,NocoBase 插件分为三类：服务端插件用于扩展后端逻辑，客户端插件用于扩展前端界面，通用插件则兼顾前后端功能，适用于个性化定制与功能增强。
作为系统管理员，我想了解 NocoBase 插件的集成和特性有哪些优势？,,NocoBase 插件支持通过 npm 发布或本地集成，具备热加载、国际化和权限控制能力，具备良好的可扩展性、可维护性和可插拔性，便于灵活部署和管理。
用最简单的表达，解释 nocobase的架构基本思路,,"**核心架构**

- **插件化架构**：NocoBase 采用插件驱动设计，所有功能通过插件实现和扩展，核心系统保持极简。
- **前后端一体但解耦**：前端使用 React + Ant Design，后端基于 Node.js（Koa） + Sequelize，前后端分离但协同工作。
- **数据驱动界面（DDI）**：UI 元素可通过后端配置数据动态生成，提升灵活性和可配置性。"
NocoBase 是如何实现灵活配置界面的？,,NocoBase 支持数据驱动界面（DDI），通过后端配置数据动态生成 UI 元素，提升灵活性和可配置性。
作为一个产品经理，我想了解 NocoBase 的扩展性如何？,,NocoBase 的插件化设计使得功能扩展非常灵活，所有功能通过插件实现，便于根据需求定制和升级。
NocoBase 是怎么做到功能可扩展的？,,NocoBase 采用插件化架构，所有核心与扩展功能都封装为插件，开发者可以自由增删、配置甚至开发新的插件，实现功能拓展。
我看到 NocoBase 到处都说是“插件驱动”，这具体是什么意思？,,这意味着它的核心非常简洁，绝大多数功能（包括权限、视图、字段类型等）都是通过插件加载和注册进来的。核心系统只负责管理插件和框架本身的生命周期。
NocoBase 支持哪些类型的插件？,,插件分为服务端插件（如权限控制、数据模型定义）和前端插件（比如视图组件、表单控件），通常是配对存在，分别处理后端逻辑与前端渲染。
插件之间有没有依赖关系？,,有，插件可以声明依赖其他插件，系统会自动根据依赖顺序加载插件，避免运行时出错。
NocoBase 的前后端是什么关系？,,NocoBase 的前后端是解耦的，但通过 schema 和插件机制紧密协作。前端基于 React，后端基于 Koa（Node.js），它们之间通过统一的数据结构通信。
我能只用 NocoBase 的后端部分，换掉前端吗？,,理论上可以。只要你的前端能读取 NocoBase 提供的 API 和 schema，就可以自行开发界面。但默认 UI 已与 schema 深度绑定，替换成本较高。
NocoBase 前端的界面是写死的吗？,,不是。NocoBase 前端组件是动态生成的，基于后端定义的 schema 配置。新增字段、调整布局等操作不需要重新写前端代码。
NocoBase 是“数据驱动界面”，具体怎么理解？,,意思是前端页面并不是硬编码的，而是根据后端数据库中保存的结构化定义（如字段、视图、权限）动态生成的。
NocoBase，什么叫“配置即数据”？,,NocoBase 把字段、视图、权限这些界面和逻辑元素都作为数据存进数据库，称为元数据（meta data），从而支持动态配置和持久化。
数据驱动具体带来了什么好处？在 NocoBase 里。,,对于 NocoBase来说，它让界面可配置、结构可变、功能可组合，开发者不需要频繁改代码，就能实现复杂逻辑和结构的变更。
NocoBase 的 schema 储存在代码里还是数据库里？,,存数据库里。所有结构定义都存储为结构化数据记录，比如集合（表）、字段、动作、视图等，系统启动时会读取这些 schema 来构建应用。
NocoBase是如何定义和管理数据模型及其关系的？它的核心设计思想是什么？,,"**NocoBase**通过将**数据模型的结构（Schema）作为数据本身**来定义和管理模型及其关系，其核心设计思想是高度灵活且可扩展的元数据驱动架构。具体实现方式如下：

- **表即模型（Collections）**：NocoBase使用“**集合（Collection）**”抽象关系型数据库中的表，每个集合代表一个独立的数据模型。

- **字段即属性（Fields）**：模型的属性由“**字段（Field）**”定义。NocoBase提供丰富的字段类型插件，用于同时定义数据结构和用户界面展示方式。

- **明确的关系字段类型**：NocoBase为常见的数据关系提供专用字段类型，如 **hasOne（一对一）**、**hasMany（一对多）**、**belongsToMany（多对多）**，确保模型间关系在定义时清晰明确。

- **Schema存储于数据库**：所有模型定义，包括集合、字段、视图、权限等元数据，均作为数据存储在数据库中，而非代码文件中，实现**运行时可配置和动态扩展**。

- **支持复杂嵌套结构**：通过记录之间的引用机制，NocoBase原生支持**子表单、树形结构**等复杂数据建模，适应多样化业务场景。"
NocoBase是如何定义数据模型的？,,NocoBase通过“集合（Collection）”来定义数据模型，每个集合作为一个数据库表，对应一个数据模型。集合创建时会自动生成相应的数据库表。模型的结构由字段（Field）定义，字段不仅指定数据类型，还决定了用户界面的展示方式。
NocoBase使用什么方式管理模型之间的关系？,,NocoBase提供专门的关系字段类型来管理模型间的关系，包括：hasOne（一对一）、hasMany（一对多）、belongsToMany（多对多），使得模型之间的关联清晰且易于配置。
为什么说NocoBase的模型结构是灵活可扩展的？,,因为NocoBase将模型的Schema（结构定义）作为数据存储在数据库中，而不是写死在代码中，使得系统可以在运行时动态修改和扩展模型结构，提升了灵活性和可维护性。
作为开发者，我在NocoBase里如何构建复杂的数据结构？,,NocoBase 提供了面向开发者的结构化建模能力，通过集合、字段、关系和插件机制，支持构建灵活、复杂的业务数据结构，无需手写数据库建表语句或重复维护前后端模型。
NocoBase 的功能是如何组织的？它的插件系统有哪些核心特点？,,"**NocoBase 的功能是如何组织的？它的插件系统有哪些核心特点？**

NocoBase 的功能围绕一个**高度模块化的插件系统**组织。几乎所有核心与扩展功能都以独立插件形式实现。

其插件系统具有以下**核心特点**：

- **功能即插件**：无论是用户权限、数据导入导出、API 服务等基础功能，还是工作流、国际化（i18n）等高级功能，均以插件形式存在，支持按需启用、禁用或替换。
- **插件间依赖管理**：插件可声明对其他插件的依赖，系统根据依赖关系确保插件的正确加载顺序与完整性。
- **前后端配对**：许多功能由服务端插件与客户端插件成对组成，如 `plugin-collections` 与对应的前端 UI 插件，实现完整功能闭环。
- **开发时热加载**：支持插件热加载（Hot Reload），开发者修改代码后无需重启应用即可生效，提升开发效率。"
NocoBase中如何抽象关系型数据库表？,,"NocoBase使用""集合（Collection）""来抽象关系型数据库表，每个集合对应数据库中的一张表。"
表字段在NocoBase中通过什么定义？不同字段有什么区别？,,表字段由字段插件定义，不同字段支持不同的数据类型与UI表现，例如文本、数字、日期等字段类型会有不同的输入和展示方式。
NocoBase如何建模一对一、一对多关系？,,通过专属的关系字段类型实现，例如hasOne表示一对一，belongsToMany表示多对多，其他如hasMany可用于一对多关系。
Schema定义（如字段、视图）存储在什么地方？,,所有Schema定义（包括字段、视图、动作等）均作为数据的一部分直接存储在数据库中。
NocoBase支持哪些复杂数据模型结构？,,支持记录间的引用和嵌套结构，例如子表（通过关系字段关联）和树形结构（通过层级字段实现）。
NocoBase 字段的UI表现是如何决定的？,,由字段插件定义时指定，不同字段类型（如日期选择器、富文本编辑器）会自动关联对应的UI组件。
关系型数据库的多对多关系在NocoBase中如何实现？,,使用belongsToMany字段类型明确建模，系统会自动处理中间关联表的逻辑。
NocoBase 的插件是纯后端的吗？还是也包含前端部分？,,不全是纯后端的。许多 NocoBase 插件都是由“服务端插件”和“客户端插件”成对组成的，它们共同协作，实现一个从后端逻辑到前端 UI 的完整功能。
在 NocoBase 中开发插件时，每次修改代码后都需要重启服务吗？,,不需要。为了提升开发效率，NocoBase 支持插件的“热加载”（Hot Reload）机制。这意味着开发者在修改插件代码后，更改可以立即生效，无需重启整个应用。
插件加载顺序由什么决定？,,由插件声明的依赖关系自动决定，确保依赖项优先加载。
NocoBase 有几种安装方式，大致介绍下,,"NocoBase 支持以下三种主要安装方式：

1. **Docker 安装（推荐）**
   适合不需要开发的用户，用于无代码场景。安装简单，维护方便，升级只需更新镜像并重启容器即可。

2. **create-nocobase-app 安装**
   适用于低代码开发场景。项目业务代码与 NocoBase 核心解耦，便于自定义和扩展，是开发自定义应用的推荐方式。

3. **Git 源码安装**
   面向有开发经验的用户。适合体验最新版功能、参与贡献或需要修改框架源码的场景。需要手动拉取更新，适合熟悉 Git 和 Node.js 的开发者。

此外，官方推荐使用 **Latest 版本**，该版本功能稳定，经过测试验证，仅进行缺陷修复，适合大多数用户部署使用。"
NocoBase 支持哪些安装方式？,,支持 Docker 安装、create-nocobase-app 安装和 Git 源码安装三种方式。
NocoBase 推荐使用哪种安装方式？,,推荐使用 Docker 安装，适合不需要开发的用户，升级也比较简单。
create-nocobase-app 安装适合什么场景？,,适合低代码开发场景，项目代码结构独立，便于扩展。
什么情况下应选择 Git 源码安装？,,当你需要体验最新功能或参与框架开发时，可以选择 Git 安装方式。
NocoBase 推荐安装哪个版本？,,推荐安装 Latest 版本，它功能稳定，主要用于缺陷修复。
使用 Docker 安装 NocoBase 之前需要先做什么？,,你需要先安装 Docker 和 Docker Compose。
我应该在哪里创建 docker-compose.yml 文件？,,你需要先创建一个文件夹，例如 my-project，并在里面创建 docker-compose.yml 文件
如何配置 NocoBase 使用 PostgreSQL 数据库？,,在环境变量中设置 DB_DIALECT=postgres，并启用 postgres 服务即可。
docker-compose.yml 中的 APP_KEY 有什么作用？,,APP_KEY 是用于生成用户 token 的密钥，如果更改它，旧的 token 会失效。
如何配置 NocoBase 的数据库连接信息？,,你需要设置 DB_HOST、DB_PORT、DB_DATABASE、DB_USER 和 DB_PASSWORD 等环境变量。
NocoBase 镜像有哪些版本可选？,,可选版本包括 latest、beta、alpha 及对应的 full 镜像版本。
full 镜像版本包含了哪些额外功能？,,full 镜像内置了备份管理、迁移管理插件和所需的数据库客户端，以及模板打印功能。
如何启动 NocoBase 的 Docker 服务？,,使用 docker-compose pull 拉取镜像，再运行 docker-compose up -d 启动服务。
如何查看 NocoBase 容器的启动日志？,,可以使用 docker-compose logs app 命令查看日志。
NocoBase 默认使用哪个端口？,,默认使用 13000 端口，映射为容器内的 80 端口。
NocoBase 启动成功后如何访问？,,在浏览器中打开 http://localhost:13000 访问系统。
NocoBase 的初始账号和密码是什么？,,默认账号是 admin@nocobase.com，密码是 admin123。
如何持久化 NocoBase 的数据？,,通过 volumes 将 storage 目录映射到宿主机，比如 ./storage:/app/nocobase/storage。
我可以使用已有的数据库服务器吗？,,可以，只需要将 DB_HOST 设置为已有数据库的 IP，并不启用容器内的 postgres 服务。
如何切换使用 MySQL 或 MariaDB？,,修改 DB_DIALECT 为 mysql 或 mariadb，并设置相应数据库的连接参数即可。
如果我想使用 NocoBase 的 beta 功能，该用哪个镜像？,,使用 nocobase/nocobase:beta 或 nocobase/nocobase:beta-full 镜像。
国内用户推荐使用哪个镜像源？,,建议使用 registry.cn-shanghai.aliyuncs.com 提供的阿里云镜像。
如何开启商业插件自动下载功能？,,在环境变量中设置 NOCOBASE_PKG_USERNAME 和 NOCOBASE_PKG_PASSWORD。
NocoBase Docker 安装过程中容器启动失败怎么办？,,你可以运行 docker-compose logs app 查看具体报错信息，根据日志内容排查数据库连接、权限或镜像问题。
NocoBase 提示数据库连接失败怎么处理？,,请检查 DB_HOST、DB_PORT、DB_USER、DB_PASSWORD 是否设置正确，数据库是否已正常启动并可连接。
我如何清除并重新初始化 NocoBase 的数据？,,可以先停止容器，删除挂载的 storage 目录和数据库数据目录，再重新启动容器。
我启动容器后访问不到 localhost:13000，可能是什么原因？,,请检查 docker-compose.yml 是否正确映射端口，容器是否正常运行，或系统防火墙是否限制了端口访问。
部署多个 NocoBase 实例时需要注意什么？,,应为每个实例配置不同的端口、容器名称、挂载路径和数据库，避免冲突。
我在容器中安装了插件，如何保证它们不会丢失？,,确保你将 /app/nocobase/storage 正确挂载为 volume，插件和配置数据才能持久保存。
我在使用 full 镜像时启动很慢，正常吗？,,full 镜像包含较多依赖和功能组件，镜像体积大，首次启动时间较长属于正常现象。
如何通过 .env 文件管理环境变量？,,你可以将所有环境变量写入 .env 文件，并使用 dotenv 方式在 docker-compose.yml 中引用。
我可以在运行中的 NocoBase 容器中调试代码吗？,,可以使用 docker exec -it 命令进入容器，修改文件后重启服务调试。
如何查看当前使用的是哪个 NocoBase 镜像版本？,,运行 docker images 或 docker-compose ps 命令可查看当前容器使用的镜像标签。
可以直接用 Docker 命令运行 NocoBase 而不用 docker-compose 吗？,,可以，但推荐使用 docker-compose 管理服务依赖和多容器配置，更简洁可靠。
为什么我修改了 docker-compose.yml 后容器没生效？,,你需要重新执行 docker-compose up -d 才能使配置变更生效。
容器反复重启是什么原因？,,可能是数据库未就绪或配置错误导致服务启动失败，建议查看容器日志分析原因。
NocoBase 的存储目录必须挂载吗？,,建议挂载 storage 目录，否则插件、上传数据和配置将不会持久保存。
请提供一个使用 Docker 部署 NocoBase 的最简 docker-compose 配置，数据库使用 PostgreSQL。,,"以下是一个最简的 docker-compose.yml 示例，包含 NocoBase 和 PostgreSQL：

```yaml
services:
  db:
    image: postgres:15
    environment:
      POSTGRES_DB: nocobase
      POSTGRES_USER: nocobase
      POSTGRES_PASSWORD: nocobase
    volumes:
      - ./data/db:/var/lib/postgresql/data
  app:
    image: nocobase/nocobase:latest
    depends_on:
      - db
    ports:
      - '13000:13000'
    environment:
      DB_TYPE: postgres
      DB_HOST: db
      DB_PORT: 5432
      DB_DATABASE: nocobase
      DB_USER: nocobase
      DB_PASSWORD: nocobase
    volumes:
      - ./storage:/app/nocobase/storage
```"
我希望使用 .env 文件来管理数据库连接信息，如何修改 docker-compose 配置？,,"你可以将敏感信息提取到 `.env` 文件中，然后使用 `${}` 引用。下面是修改后的配置示例：

`.env` 文件内容：
```env
POSTGRES_DB=nocobase
POSTGRES_USER=nocobase
POSTGRES_PASSWORD=nocobase
DB_TYPE=postgres
DB_HOST=db
DB_PORT=5432
DB_DATABASE=nocobase
DB_USER=nocobase
DB_PASSWORD=nocobase
```

`docker-compose.yml` 文件：
```yaml
services:
  db:
    image: postgres:15
    environment:
      POSTGRES_DB: ${POSTGRES_DB}
      POSTGRES_USER: ${POSTGRES_USER}
      POSTGRES_PASSWORD: ${POSTGRES_PASSWORD}
    volumes:
      - ./data/db:/var/lib/postgresql/data
  app:
    image: nocobase/nocobase:latest
    depends_on:
      - db
    ports:
      - '13000:13000'
    environment:
      DB_TYPE: ${DB_TYPE}
      DB_HOST: ${DB_HOST}
      DB_PORT: ${DB_PORT}
      DB_DATABASE: ${DB_DATABASE}
      DB_USER: ${DB_USER}
      DB_PASSWORD: ${DB_PASSWORD}
    volumes:
      - ./storage:/app/nocobase/storage
```"
我想本地开发插件，请问 docker-compose 如何映射插件目录？,,"你可以通过 `volumes` 将本地插件目录映射到容器中的插件路径 `/app/nocobase/plugins`，如下所示：

```yaml
services:
  app:
    image: nocobase/nocobase:latest
    ports:
      - '13000:13000'
    volumes:
      - ./my-plugins:/app/nocobase/plugins
      - ./storage:/app/nocobase/storage
    environment:
      DB_TYPE: postgres
      DB_HOST: db
      DB_PORT: 5432
      DB_DATABASE: nocobase
      DB_USER: nocobase
      DB_PASSWORD: nocobase
```

这样配置后，你在本地 `my-plugins` 目录下开发的插件会实时反映到容器中，便于调试和开发。"
默认配置，使用内置 Postgres，最简单启动 NocoBase 的 docker-compose 文件是什么？,我们需要 app 和 postgres 两个服务，使用默认端口和账号密码，挂载 storage。,"docker-compose.yml:

```yaml
networks:
  nocobase:
    driver: bridge

services:
  app:
    image: nocobase/nocobase:latest
    restart: always
    networks:
      - nocobase
    depends_on:
      - postgres
    environment:
      - APP_KEY=secret
      - DB_DIALECT=postgres
      - DB_HOST=postgres
      - DB_PORT=5432
      - DB_DATABASE=nocobase
      - DB_USER=nocobase
      - DB_PASSWORD=nocobase
      - TZ=Asia/Shanghai
    volumes:
      - ./storage:/app/nocobase/storage
    ports:
      - ""13000:80""

  postgres:
    image: postgres:16
    restart: always
    environment:
      POSTGRES_USER: nocobase
      POSTGRES_DB: nocobase
      POSTGRES_PASSWORD: nocobase
    volumes:
      - ./storage/db/postgres:/var/lib/postgresql/data
    networks:
      - nocobase
```"
我已经有一台 MySQL 服务器，IP 是 10.0.0.5，用户名 root，密码是 123456，数据库名是 nocobase。怎么配置？,我们不需要 mysql 服务，只要设置 DB_HOST、DB_USER、DB_PASSWORD 即可。,"docker-compose.yml:

```yaml
services:
  app:
    image: nocobase/nocobase:latest
    restart: always
    ports:
      - ""13000:80""
    environment:
      - APP_KEY=my-secret-key
      - DB_DIALECT=mysql
      - DB_HOST=10.0.0.5
      - DB_PORT=3306
      - DB_DATABASE=nocobase
      - DB_USER=root
      - DB_PASSWORD=123456
      - DB_UNDERSCORED=true
      - TZ=Asia/Shanghai
    volumes:
      - ./storage:/app/nocobase/storage
```"
我要使用 MariaDB，数据库密码是 mypass，NocoBase 暴露端口 15000。能给我完整配置吗？,我们需要启动 app 和 mariadb 服务，并映射端口。,"docker-compose.yml:

```yaml
networks:
  nocobase:
    driver: bridge

services:
  app:
    image: nocobase/nocobase:latest
    restart: always
    ports:
      - ""15000:80""
    networks:
      - nocobase
    depends_on:
      - mariadb
    environment:
      - APP_KEY=my-secret-key
      - DB_DIALECT=mariadb
      - DB_HOST=mariadb
      - DB_PORT=3306
      - DB_DATABASE=nocobase
      - DB_USER=root
      - DB_PASSWORD=mypass
      - DB_UNDERSCORED=true
      - TZ=Asia/Shanghai
    volumes:
      - ./storage:/app/nocobase/storage

  mariadb:
    image: mariadb:11
    restart: always
    environment:
      MYSQL_DATABASE: nocobase
      MYSQL_USER: nocobase
      MYSQL_PASSWORD: mypass
      MYSQL_ROOT_PASSWORD: mypass
    volumes:
      - ./storage/db/mariadb:/var/lib/mysql
    networks:
      - nocobase
```"
我希望把数据挂载到 /data/nocobase-storage，而不是当前目录，怎么改 docker-compose？,只需修改 volumes 对应的路径即可。,"需要在配置文件中做如下改动。

docker-compose.yml:

```yaml
services:
  app:
    volumes:
      - /data/nocobase-storage:/app/nocobase/storage
```"
要设置中国时区，应该怎么写？,使用环境变量 TZ 设置为 Asia/Shanghai。,"可在 .env 设置：

```ini
TZ=Asia/Shanghai
```

在 docker-compose.yml 中引用变量：

```yaml
environment:
  - TZ=${TZ}
```"
APP_KEY 是做什么用的？怎么设置？,APP_KEY 是用于生成登录 token 的密钥，必须是唯一随机字符串。,"APP_KEY 用于生成登录 token 的密钥。

可在 .env 中设置：

```ini
APP_KEY=very-secret-key-987654321
```

在 docker-compose.yaml 引用：

```yaml
environment:
  - APP_KEY=${APP_KEY}

```"
希望所有配置都写到 .env 文件里，docker-compose 怎么写？,需要使用 env_file 字段，并把所有环境变量放到 .env 文件中。,"比如，这样写 .env，包含所有配置：

```ini
APP_KEY=secret
DB_DIALECT=postgres
DB_HOST=postgres
DB_PORT=5432
DB_DATABASE=nocobase
DB_USER=nocobase
DB_PASSWORD=nocobase
TZ=Asia/Shanghai
```

在 docker-compose.yml 中引用 .env:

```yaml
services:
  app:
    image: nocobase/nocobase:latest
    env_file:
      - .env
    volumes:
      - ./storage:/app/nocobase/storage
    ports:
      - ""13000:80""
```"
希望访问端口是 8088，怎么改？,映射端口即可，格式为 宿主:容器。,"在 docker-compose.yml 中设置：

```yaml
services:
  app:
    ports:
      - ""8088:80""
```"
如何开启下划线命名数据库字段？,设置环境变量 DB_UNDERSCORED=true。,".env:

```ini
DB_UNDERSCORED=true
```

docker-compose.yml:

```yaml
environment:
  - DB_UNDERSCORED=${DB_UNDERSCORED}
```"
已有 MySQL，用户是 admin，密码 pw1234，数据库是 nb_prod，请帮我写完整配置。,不启动数据库容器，配置连接参数即可。,".env:

```ini
DB_DIALECT=mysql
DB_HOST=10.1.2.3
DB_PORT=3306
DB_DATABASE=nb_prod
DB_USER=admin
DB_PASSWORD=pw1234
```

docker-compose.yml:

```yaml
services:
  app:
    image: nocobase/nocobase:latest
    env_file:
      - .env
    ports:
      - ""13000:80""
    volumes:
      - ./storage:/app/nocobase/storage
```"
如何使用 postgres 配置 NocoBase？,使用 postgres 数据库，需要配置对应的 DB_DIALECT 和连接信息,"以下是使用 PostgreSQL 配置 NocoBase 的 Docker Compose 文件示例：

```yaml
services:
  app:
    image: nocobase/nocobase:latest
    ports:
      - ""13000:80""
    environment:
      - DB_DIALECT=postgres
      - DB_HOST=host.docker.internal
      - DB_PORT=5432
      - DB_DATABASE=nocobase
      - DB_USER=postgres
      - DB_PASSWORD=secret
      - TZ=Asia/Shanghai
```

这个配置使用了以下环境变量：
- `DB_DIALECT=postgres`：指定使用 PostgreSQL 数据库
- `DB_HOST=host.docker.internal`：连接宿主机上的 PostgreSQL 服务
- `DB_PORT=5432`：PostgreSQL 默认端口
- `DB_DATABASE=nocobase`：使用的数据库名
- `DB_USER=postgres`：数据库用户名
- `DB_PASSWORD=secret`：数据库密码
- `TZ=Asia/Shanghai`：设置时区为上海

使用时请根据实际数据库配置修改相应参数。"
我想用本地 postgres 来做数据库，NocoBase 怎么配？,使用 postgres 数据库，需要配置对应的 DB_DIALECT 和连接信息,"以下是使用 PostgreSQL 配置 NocoBase 的推荐方式：

```yaml
services:
  app:
    image: nocobase/nocobase:latest
    ports:
      - ""13000:80""
    environment:
      - DB_DIALECT=postgres
      - DB_HOST=host.docker.internal
      - DB_PORT=5432
      - DB_DATABASE=nocobase
      - DB_USER=postgres
      - DB_PASSWORD=secret
      - TZ=Asia/Shanghai
```"
