prompt,think,response
nocobase 是什么语言开发的,"嗯，NocoBase 是 TypeScript 语言开发的。
用户可能想大致了解下 NocoBase 使用到的技术，我先简要的回答，如果再深入问，我再详细介绍具体技术情况。这样让人易于快速了解。","NocoBase 是基于 TypeScript 开发的。

前后端都使用 TypeScript，这样的好处是便于全栈开发。

具体来说：

- 后端 ：用的是 Node.js ，基于 TypeScript ，这意味着它运行速度快、结构清晰、适合长期维护
- 前端 ：使用 TypeScript，用到 React （一个流行的前端框架），加上 Ant Design （一套流行的 UI 组件库），界面美观且功能丰富

总结：

NocoBase 是基于 TypeScript 开发的。前后端都使用 TypeScript 开发，具备良好的扩展性和可维护性。"
nocobase 是否支持后端用 python 开发,用户可能有 Python 开发的人员，或者希望 NocoBase 和他们的 Python 系统能集成。我要从这两方面解答。,"目前，NocoBase 本身是基于 Node.js 开发的 ，它的后端和插件系统都运行在 JavaScript / TypeScript 生态中。因此，原生不支持直接使用 Python 作为后端语言 。

如果是希望自己的 Python 系统和 NocoBase 集成，可以考虑将 NocoBase 和 Python 后端分开部署，互相通过 API 对接：

- 用 Python（如 Flask、Django、FastAPI）开发业务逻辑接口，然后让 NocoBase 通过调用这些 API 接口来获取或提交数据
- NocoBase 提供了 Restful API 接口， Python 系统可以通过接口访问 NocoBase"
能通过 golang 为 nocobase 做二次开发么,"嗯，首先，NocoBase 是 TypeScript 开发的，想基于 NocoBase 二次开发，也只能使用 TypeScript 语言。
用户系统通过 Go 语言开发定制 NocoBase 系统。这当然是不行的。因为 NocoBase 前后端，都是用 TypeScript 开发的，而且架构设计上也没有考虑和其他语言的交互。","NocoBase 是 TypeScript 开发的，想基于 NocoBase 二次开发，也只能使用 TypeScript 语言。

您无法通过 Go 语言对 NocoBase 做二次开发。"
我们有php开发的系统，代码能否在 nocobase 系统中复用。,,NocoBase 作为基于 TypeScript 开发前后端的系统，无法直接使用 PHP 代码。
nocobase 是否使用了 python 技术,,"NocoBase 使用 TypeScript 语言开发的前后端。

NocoBase **没有使用 Python 技术栈**，它的核心技术架构完全基于 **TypeScript生态**。"
nocobase用的是 PHP 的什么框架,,NocoBase **没有使用任何 PHP 框架**，它完全基于 **TypeScript/JavaScript 语言** 技术栈开发，与 PHP 生态无关。
我是做java的，想问下如果学习nocobase开发，好不好上手，需要学习哪些东西,"嗯，用户有一定编程经验，Java方面的，不过 NocoBase 是基于 TypeScript 的。如果想做的话需要学习一下，有编程基础的话不算困难。
如果做java开发，一般会接触到数据库，应该对关系数据库，比如 MySQL 或者 PostgreSQL 有了解，应该比较容易上手。
可能比较难的地方在于前端，需要学习 React/Ant Design/Formily，以及 Web 开发基础知识，HTML/CSS。","学 NocoBase 对你 Java 开发者来说问题不大，毕竟编程思维和数据库知识你都有了。主要是得稍微学点 TypeScript，这个上手挺快的。
后端部分基本就是写逻辑、设计数据库，这些和 Java 思路差不多，你之前用 MySQL 或 PostgreSQL 的经验能直接用上。
难点主要是前端，得学 React、Ant Design 和 Formily，还有些 HTML/CSS 基础。不过现在前端框架都比较规范，跟着教程多练练就熟悉了。
总体来说，对你这种有 Java 基础的，学 NocoBase 就相当于在熟悉的地盘上稍微拓展下技能树，难度没想象中那么大。"
nocobase 支持的数据库为什么这么少，只有 mysql 和 postgresql，也不支持比如 mongodb。,"嗯，其实 NocoBase 还支持 MariaDB 和 SQLite。
我回忆一下 NocoBase 后端架构。和数据库相关的 ORM 框架选择的是 Sequelize，它本身只支持关系型数据。","NocoBase 支持的数据库主要是 **MySQL、PostgreSQL、MariaDB 和 SQLite**，确实不包括 MongoDB 等非关系型数据库。

原因在于：  
NocoBase 使用了 **Sequelize** 作为 ORM 框架，而 Sequelize 是专为 **关系型数据库（RDBMS）** 设计的，因此 NocoBase 只能支持与 Sequelize 兼容的关系型数据库，无法支持如 MongoDB 这类 NoSQL 数据库。"
我看nocobase前端使用的是react，我是做vue的，想问下开发能否使用vue，还是说一定要用react?,"用户自己会用 Vue.js，希望能直接在 NocoBase 开发中使用这个技术。
我回忆一下 NocoBase 前端技术。
NocoBase 前端使用了 React/Ant Design/Formily，这套技术组合都是基于 React 的，因此无法使用 Vue.js。","NocoBase 前端基于 **React** 技术栈（如 Ant Design 和 Formily），因此目前 **不支持使用 Vue.js** 进行开发。

如果你想使用 Vue，可能需要自行改造前端框架或等待官方对 Vue 的支持。"
nocobase和无代码平台还有低代码平台，有什么关系？,"嗯，用户可能是听说市面上有无代码平台和低代码平台，所以困惑 NocoBase 和它们有什么关系。
本质上呢，无代码平台一般是基于表单定制的逻辑，低代码平台则是通过建模，然后基于模型做定制和部分代码开发工作。
NocoBase 能为非技术人员提供建模然后定制界面的能力，即，无代码平台功能。
另外，通过插件机制，为技术人员提供复杂功能的定制开发能力。","NocoBase **既是无代码平台，也是低代码平台**。

- 对于**非技术人员**，NocoBase 提供了可视化建模和界面定制功能，无需写代码即可搭建应用，具备**无代码能力**。
- 对于**技术人员**，NocoBase 支持通过插件进行深度开发和功能扩展，实现复杂业务逻辑，具备**低代码能力**。

因此，NocoBase 融合了无代码和低代码的特点，适合不同角色使用。"
nocobase 有几种安装的方法。,首先判断提问重点是“有几种安装的方法”，需要提取数量和分类依据。接着按用户类型或技术门槛，将官方推荐的三种安装方式（Docker、create-nocobase-app、源码安装）进行归纳。最后提供简洁的选择建议，帮助不同背景用户快速决策。,"NocoBase 提供 **3 种安装的方法**，对应不同使用场景：

1. **Docker 安装（推荐）**
   - 适合：纯无代码使用者
   - 特点：一键部署，升级只需替换镜像，无需开发能力

2. **create-nocobase-app 安装**
   - 适合：低代码开发者
   - 特点：业务代码独立，可自定义扩展

3. **Git 源码安装**
   - 适合：高阶开发者/贡献者
   - 特点：直接调试修改核心代码，需 Git 技术栈

**简单选择建议**：
- 小白/快速体验 → Docker
- 需要二次开发 → create-nocobase-app
- 深度定制/贡献代码 → Git 源码"
"nocobase，怎么通过docker方式安装，我的项目名称为 my-nocobase

我已经安装了 docker，而且已经部署了 mysql

mysql 参数：

- host: mydb
- user: root
- password: example
- port: 13306
- database name: test

给出详细的步骤和代码。",用户提供了完整的 MySQL 连接参数，重点是通过 Docker 安装 NocoBase，并要求使用自定义项目名 my-nocobase。需要明确用户已有 MySQL 环境，因此不重复配置数据库服务。回答要覆盖从目录创建、Docker Compose 配置到服务启动和访问的全过程，特别注意将数据库连接信息正确注入环境变量中。此外，需要提醒用户网络连通性和首次启动等待时间等注意事项，确保安装成功率。,"根据您提供的信息，您已经安装了Docker并部署了MySQL数据库。以下是详细的安装步骤：

## 1. 创建项目目录并进入

```bash
mkdir my-nocobase && cd my-nocobase
```

## 2. 创建docker-compose.yml文件

```bash
vi docker-compose.yml
```

将以下内容复制到文件中（根据您的MySQL配置进行了调整）：

```yaml
networks:
  nocobase:
    driver: bridge

services:
  app:
    image: registry.cn-shanghai.aliyuncs.com/nocobase/nocobase:latest
    restart: always
    networks:
      - nocobase
    depends_on:
      - mysql
    environment:
      # 应用的密钥，用于生成用户 token 等
      - APP_KEY=your-secret-key-change-me
      # 数据库类型
      - DB_DIALECT=mysql
      # 数据库主机
      - DB_HOST=mydb
      # Database port
      - DB_PORT=13306
      # 数据库名
      - DB_DATABASE=test
      # 数据库用户
      - DB_USER=root
      # 数据库密码
      - DB_PASSWORD=example
      # 时区
      - TZ=Asia/Shanghai
    volumes:
      - ./storage:/app/nocobase/storage
    ports:
      - '13000:80'
```

## 3. 启动NocoBase服务

```bash
# 拉取最新镜像
docker-compose pull

# 在后台运行
docker-compose up -d

# 查看app进程的情况
docker-compose logs app
```

## 4. 访问NocoBase

使用浏览器打开 [http://localhost:13000](http://localhost:13000)

初始账号和密码是：
- 用户名: `admin@nocobase.com`
- 密码: `admin123`

## 注意事项

1. 您已经有一个运行的MySQL服务，所以不需要在docker-compose中再定义一个MySQL服务。
2. 确保您的MySQL服务可以从Docker容器中访问（网络配置正确）。
3. 如果您需要MySQL容器，可以添加以下配置到docker-compose.yml中（但您已经有一个运行的MySQL，所以不需要）：

```yaml
  mysql:
    image: mysql:8.0
    restart: always
    environment:
      MYSQL_ROOT_PASSWORD: example
      MYSQL_DATABASE: test
    volumes:
      - ./storage/db/mysql:/var/lib/mysql
    networks:
      - nocobase
```

4. 如果您遇到连接问题，请检查：
   - MySQL是否允许从Docker网络连接
   - 防火墙设置
   - MySQL用户权限

5. 您可以根据需要更改NocoBase的版本，只需修改`image`标签，例如：
   ```yaml
   image: registry.cn-shanghai.aliyuncs.com/nocobase/nocobase:latest-full
   ```

6. 首次启动可能需要几分钟时间进行初始化。"
"nocobase docker 方式配置 prostgresql 数据库怎么做。

给出一个简明好操作的示例，要具体步骤和代码。",用户希望了解如何使用 Docker 部署 NocoBase 并配置 PostgreSQL 数据库，强调“简明好操作”和“具体步骤”。回答需兼顾两个服务的协同部署，使用 Docker Compose 同时定义 NocoBase 与 PostgreSQL。要清晰标明环境变量如何配置 PostgreSQL 连接，并引导用户验证服务是否连接成功（日志输出、数据库命令、Web访问等）。还需提示一些关键注意事项，如逻辑复制配置、持久化路径、安全项(APP_KEY)、以及远程数据库适配。整体目标是让用户零基础也能快速跑起来。,"下面是使用 Docker 安装 PostgreSQL 数据库并配置到 NocoBase 的步骤说明，以及可直接操作的 `docker-compose.yml` 模板：

---

### ✅ **Docker 方式安装 NocoBase + PostgreSQL 配置详细示例**

#### 🅍 新增文件夹结构（可选）
```bash
mkdir my-project && cd my-project
```

#### 📜 编辑 Docker Compose 文件

```yaml
# docker-compose.yml
networks:
  nocobase:
    driver: bridge

services:
  app:
    image: registry.cn-shanghai.aliyuncs.com/nocobase/nocobase:latest-full
    restart: unless-stopped
    networks:
      - nocobase
    depends_on:
      - postgres
    environment:
      APP_KEY=your-secret-key # 随机字符串，确保保密
      DB_DIALECT=postgres  # 数据库类型为 PostgreSQL
      DB_HOST=postgres     # 连接数据库的服务名（后续配置）
      DB_PORT=5432         # PostgreSQL 默认端口
      DB_DATABASE=nocobase # 数据库名称
      DB_USER=nocobase     # 数据库用户名
      DB_PASSWORD=nocobase # 数据库密码
      TZ=Asia/Shanghai     # 时间戳校准为中国时区
      NOCOBASE_PKG_USERNAME=''  # 商业插件账号（可留空不需）
      NOCOBASE_PKG_PASSWORD=''  # 商业插件密码（同上）

    volumes:
      - ./storage:/app/nocobase/storage   # 持久化存储
    ports:
      - '13000:80'
    exposes:
      - 80

  postgres:
    image: registry.cn-shanghai.aliyuncs.com/nocobase/postgres:16
    restart: unless-stopped
    command: postgres -c wal_level=logical  # 启动 PostgreSQL 并设置逻辑复制
    environment:
      POSTGRES_USER: nocobase
      POSTGRES_DB: nocobase
      POSTGRES_PASSWORD: nocobase
    volumes:
      - ./storage/db/postgres:/var/lib/postgresql/data
    networks:
      - nocobase
```

---

### 🔚 启动服务

```bash
docker-compose pull    # 拉取最新镜像版本
docker-compose up -d   # 背景运行服务（可直接查看日志状态或在前台跟踪）
docker-compose logs app  # 查看 NocoBase 日志，确认是否连接正确
```

---

### 🧪 验证数据库与 NocoBase 是否对接成功

- **PostgreSQL 可以通过命令行访问验证：**

```bash
# 登录 PostgreSQL 容器执行 SQL 查询
docker exec -it postgres psql -U nocobase -d nocobase
```

确认使用 `SELECT * FROM pg_database;` 查看数据库是否存在。如果输出中有一行显示 `nocobase`，代表部署成功。

- **访问 NocoBase 前台 (http://localhost:13000):**

初始账号：`admin@nocobase.com`
密码：`admin123`

---

### 📝 使用注意事项

- 不建议随意更改 `APP_KEY`，避免用户 Token 失效。
- 如果你的 PostgreSQL 是远程服务器，请修改 `DB_HOST` 为真实 IP 或域名，并确保端口开放。
- 如需优化性能、设置备份等高级功能可扩展到环境变量或自行定制部署策略。"
"nocobase 有三种安装方式， docker, 命令行和源代码安装

简单解释下，具体的安装方式，分别在什么情况下使用。",用户的问题是对 NocoBase 三种安装方式的比较性理解，重点在于“分别在什么情况下使用”。因此需要围绕技术门槛、适用人群、典型使用场景、维护方式等维度进行分类说明。回答应结合用户角色（如无代码用户、开发者、核心贡献者）匹配安装方式，并分别说明每种方式的优势和限制。为了便于理解，最后补充总结性对比表，帮助用户根据自身需求快速判断该选择哪种方式。整体逻辑是：先分述、再对比、最后建议。,"以下是NocoBase三种安装方式的详细说明及适用场景总结：

---

### **1. Docker安装（推荐）**
**安装方式**：
通过官方提供的Docker镜像快速部署，无需配置复杂环境。
**适用场景**：
- **无代码开发**：仅通过NocoBase的界面进行系统定制，无需编写代码。
- **快速部署与升级**：适合生产环境，升级时只需替换镜像并重启容器。
- **运维友好**：依赖项已封装在镜像中，避免环境兼容性问题。

**建议用户**：
- 普通用户/企业团队，追求开箱即用。
- 非技术人员，无需接触代码即可搭建业务系统。

---

### **2. create-nocobase-app（命令行安装）**
**安装方式**：
通过`npm create nocobase-app`命令创建独立项目，自动配置开发环境。
**适用场景**：
- **低代码开发**：需开发自定义插件或扩展功能，需编译和调试代码。
- **业务代码隔离**：项目代码与NocoBase核心分离，便于维护和升级。
- **插件开发**：官方推荐的插件开发方式，支持热更新。

**建议用户**：
- 开发者需二次开发插件或深度定制业务逻辑。
- 需要灵活调整系统但无需修改NocoBase核心代码的场景。

---

### **3. Git源码安装**
**安装方式**：
克隆GitHub仓库，手动安装依赖并构建。
**适用场景**：
- **深度定制**：需修改NocoBase核心代码（如框架机制、数据库适配等）。
- **贡献代码**：参与开源项目开发，提交PR或修复Bug。
- **体验最新特性**：使用未正式发布的开发版（可能不稳定）。

**建议用户**：
- 高级开发者或技术研究者，熟悉Node.js和数据库配置。
- 需要彻底魔改系统或学习内部原理的场景。

---

### **版本选择建议**
- **Latest稳定版**：生产环境首选，经过测试，仅修复关键缺陷。
- **开发版（源码）**：仅用于测试或开发需求，可能存在风险。

---

### **总结对比表**
| 方式                | 技术门槛   | 适用场景               | 维护成本 | 灵活性  |
|---------------------|------------|------------------------|----------|---------|
| **Docker**          | 低         | 无代码/快速部署        | 低       | 低      |
| **命令行（低代码）** | 中         | 插件开发/业务扩展      | 中       | 中高    |
| **Git源码**         | 高         | 核心修改/贡献代码      | 高       | 极高    |

根据需求选择：
- **“能用就行”** → Docker。
- **“要加功能”** → 命令行创建项目。
- **“彻底改造成自己的”** → 源码安装。"
我想开发nocobase插件，我应该用哪种方式安装 nocobase？,用户明确表示要“开发 NocoBase 插件”，说明其具有一定开发背景。根据官方文档，三种安装方式中，只有 `create-nocobase-app` 安装方式专门支持插件开发，并将业务代码与核心代码隔离，适合低代码扩展和维护。因此应直接推荐该方式。考虑到用户可能是回顾性提问，不需要赘述安装细节，但可适当提示“如需具体步骤可提供”，增强回答的实用性与延展性。同时避免引入 Docker 或源码安装的内容，聚焦于用户所问。,"如果您要开发 NocoBase 插件，建议使用 **create-nocobase-app 安装方式**。

这种方式会创建一个独立的项目目录，业务代码与 NocoBase 核心代码解耦，便于插件开发、调试和后期维护。它是官方推荐的低代码/插件开发场景的标准做法。

如您需要 `nocobase` 命令行安装的具体步骤和代码，我可以为您提供完整示例。"
我不是开发者，只想将 nocobase 跑起来，使用它的主要功能，什么安装方式最适合我？,用户表明自己“不是开发者”，目标是“跑起来并使用主要功能”，说明其需求偏向无代码、低维护的使用场景。根据官方文档，**Docker 安装方式**最适合这种用户：部署简单，无需编程，镜像升级方便。回答中应直接推荐该方式，不引入多余的技术细节。同时，为保持专业性与实用性，可附带提示“如需具体安装步骤可提供”，为下一步互动留出口。回答应简洁、准确，避免技术过载。,"如果您不是开发者，仅希望直接使用 NocoBase 的主要功能，**推荐使用 Docker 安装方式**。

这种方式无需编写代码，部署简单，升级也只需更新镜像，非常适合无代码使用场景。

如您需要 Docker 安装的具体步骤和示例代码，我可以为您提供完整操作指引。"
nocobase 什么安装方式，可以让我自由调试它的代码？,用户提出“自由调试它的代码”，说明关注点是对 **NocoBase 源码的可访问性与可修改性**，目标是深入开发而非仅使用。根据参考文档，只有 **Git 源码安装** 支持修改和调试核心代码，并适用于贡献或测试未发布版本。因此应明确推荐该方式。回答需简洁直接，避免扩展安装细节，但可适当提示“如需具体步骤可提供”，方便后续引导，体现编程助手的专业性与实用性。,"如果您希望能够自由调试 NocoBase 的核心代码，**建议使用 Git 源码安装方式**。

该方式适用于需要修改、调试 NocoBase 源码的场景，可直接访问和编辑框架内部逻辑，适合具备一定开发能力的用户。

如您需要源码安装的具体步骤，我可以为您提供详细说明。"
给我最基本的 nocobase docker 安装配置步骤和代码,"用户明确提出“最基本的 NocoBase Docker 安装配置”，说明需求是**尽可能简洁、直接可运行**的部署方案。回答应聚焦最小可用配置，避免引入复杂插件、外部依赖或进阶用法。参考文档表明 Docker 是推荐方式，适合无代码用户，因此选择 PostgreSQL 作为内建服务共同部署是合理默认。

步骤设计上，应覆盖完整链路：

1. **目录创建**（确保用户从空环境开始）
2. **docker-compose.yml 编写**（包括 NocoBase + PostgreSQL 服务配置）
3. **启动命令与日志查看**（便于排错）
4. **默认登录信息与访问地址**（帮助用户完成首个登录）

为了降低失败概率，还补充了关键参数说明和初始化等待提示，确保用户能顺利访问 Web 界面。整体回答体现“开箱即用”的特性，同时留出扩展空间（如镜像版本、端口调整等）。","### NocoBase Docker 基本安装步骤

#### 1. 创建项目目录
```bash
mkdir my-project && cd my-project
```

#### 2. 创建 `docker-compose.yml`
```yaml
version: '3'

networks:
  nocobase:
    driver: bridge

services:
  app:
    image: registry.cn-shanghai.aliyuncs.com/nocobase/nocobase:latest
    restart: always
    networks:
      - nocobase
    depends_on:
      - postgres
    environment:
      - APP_KEY=your-secret-key  # 替换为随机字符串（至少32位）
      - DB_DIALECT=postgres
      - DB_HOST=postgres
      - DB_PORT=5432
      - DB_DATABASE=nocobase
      - DB_USER=nocobase
      - DB_PASSWORD=nocobase
      - TZ=Asia/Shanghai
    volumes:
      - ./storage:/app/nocobase/storage
    ports:
      - '13000:80'

  postgres:
    image: registry.cn-shanghai.aliyuncs.com/nocobase/postgres:16
    restart: always
    environment:
      POSTGRES_USER: nocobase
      POSTGRES_DB: nocobase
      POSTGRES_PASSWORD: nocobase
    volumes:
      - ./storage/db/postgres:/var/lib/postgresql/data
    networks:
      - nocobase
```

#### 3. 启动服务
```bash
# 拉取镜像并启动容器
docker-compose up -d

# 查看实时日志
docker-compose logs -f app
```

#### 4. 访问应用
1. 浏览器打开：`http://localhost:13000`
2. 使用默认账号登录：
   - 邮箱：`admin@nocobase.com`
   - 密码：`admin123`

---

### 关键说明：
1. **APP_KEY**：必须替换为随机字符串（示例：`openssl rand -base64 32`生成）
2. **数据持久化**：所有数据保存在 `./storage` 目录
3. **端口冲突**：若13000端口被占用，修改 `ports: '新端口:80'`
4. **镜像选择**：
   - 国内推荐使用阿里云镜像（文档中配置已使用）
   - 完整功能版：将镜像标签改为 `latest-full`

> 首次启动需等待1-2分钟完成初始化（观察日志出现 `🚀 NocoBase server running` 即完成）"
给出docker安装nocobase的最简配置和步骤，数据库 mysql,"用户提出要求是“最简配置”和“使用 MySQL”，说明重点在于：

1. **配置尽可能简洁明了**；
2. **数据库明确指定为 MySQL，而非默认 PostgreSQL**；
3. **目标是快速部署成功、可访问 Web 界面**。

根据官方推荐，Docker 是适合无代码用户的方式，而 MySQL 是官方支持的备选数据库，因此可构建一个包含 `nocobase` + `mysql` 的最小 `docker-compose.yml` 示例。

设计时要确保：

* **只包含必要服务**（app + mysql）
* **最小环境变量配置**即可正常启动
* 提供默认登录信息
* 提醒用户关注关键安全点（如 `APP_KEY` 和默认账号密码）

为了帮助用户顺利启动并确认运行状态，还加入了日志查看和启动标志语句说明（`🚀 NocoBase server running`），以提升用户体验。

整体思路是围绕“最小、可用、安全”，实现开箱即用体验，同时避免多余拓展内容。","### Docker 安装 NocoBase 最简配置（MySQL 版）

#### 步骤 1：创建项目目录
```bash
mkdir my-project && cd my-project
```

#### 步骤 2：创建 `docker-compose.yml`
```yaml
version: '3'
networks:
  nocobase:
    driver: bridge

services:
  app:
    image: registry.cn-shanghai.aliyuncs.com/nocobase/nocobase:latest
    restart: always
    networks:
      - nocobase
    depends_on:
      - mysql
    environment:
      - APP_KEY=your-secret-key  # 替换为随机字符串（建议 32 位）
      - DB_DIALECT=mysql
      - DB_HOST=mysql
      - DB_PORT=3306
      - DB_DATABASE=nocobase
      - DB_USER=root
      - DB_PASSWORD=nocobase
      - TZ=Asia/Shanghai
    volumes:
      - ./storage:/app/nocobase/storage
    ports:
      - '13000:80'

  mysql:
    image: registry.cn-shanghai.aliyuncs.com/nocobase/mysql:8
    environment:
      MYSQL_ROOT_PASSWORD: nocobase
      MYSQL_DATABASE: nocobase
    restart: always
    volumes:
      - ./storage/db/mysql:/var/lib/mysql
    networks:
      - nocobase
```

#### 步骤 3：启动服务
```bash
docker-compose up -d
```

#### 步骤 4：查看日志（等待初始化完成）
```bash
docker-compose logs -f app
```
当看到 `🚀 NocoBase server running at: http://localhost:13000/` 表示启动成功

#### 步骤 5：访问系统
1. 打开浏览器访问：`http://localhost:13000`
2. 使用默认账号登录：
   - **账号**: `admin@nocobase.com`
   - **密码**: `admin123`

---

### 关键说明：
1. **数据库配置**：MySQL 容器自动创建数据库 `nocobase`，root 密码为 `nocobase`
2. **数据持久化**：所有数据保存在 `./storage` 目录
3. **安全提示**：
   - 务必修改 `APP_KEY`（任意随机字符串）
   - 生产环境需修改默认账号密码
4. **端口冲突**：若 13000 端口被占用，修改 `ports` 为 `新端口:80`"
